key,doctype,approx_size,cosmos_name,cosmos_elapsed,cosmos_size,redis_name,redis_elapsed,redis_size
27117,zipcode,204,27117,0.006667613983154297,564,27117,0.0014426708221435547,204
27120,zipcode,204,27120,0.009132862091064453,564,27120,0.001344919204711914,204
27127,zipcode,212,27127,0.009434938430786133,572,27127,0.001216888427734375,212
27130,zipcode,204,27130,0.006708383560180664,564,27130,0.0017268657684326172,204
27150,zipcode,204,27150,0.006854057312011719,564,27150,0.0016431808471679688,204
27152,zipcode,204,27152,0.006662845611572266,564,27152,0.001794576644897461,204
27155,zipcode,204,27155,0.0068972110748291016,564,27155,0.0017709732055664062,204
27157,zipcode,204,27157,0.0066738128662109375,564,27157,0.001985788345336914,204
27198,zipcode,204,27198,0.006336688995361328,564,27198,0.0017704963684082031,204
27199,zipcode,204,27199,0.0067408084869384766,564,27199,0.0014355182647705078,204
27201,zipcode,199,27201,0.006921529769897461,559,27201,0.0016045570373535156,199
27202,zipcode,208,27202,0.006823539733886719,568,27202,0.0015518665313720703,208
27203,zipcode,205,27203,0.0067059993743896484,565,27203,0.001802682876586914,205
27204,zipcode,199,27204,0.010107755661010742,559,27204,0.0015857219696044922,199
27205,zipcode,207,27205,0.006833791732788086,567,27205,0.0017566680908203125,207
27207,zipcode,209,27207,0.006957054138183594,569,27207,0.0019161701202392578,209
27208,zipcode,206,27208,0.006652116775512695,566,27208,0.0017251968383789062,206
27209,zipcode,205,27209,0.007528781890869141,565,27209,0.0018243789672851562,205
27212,zipcode,205,27212,0.008952856063842773,565,27212,0.0014941692352294922,205
27213,zipcode,197,27213,0.006743192672729492,557,27213,0.002039670944213867,197
27214,zipcode,212,27214,0.006981372833251953,572,27214,0.0017201900482177734,212
27215,zipcode,209,27215,0.007773399353027344,569,27215,0.0015583038330078125,209
27216,zipcode,201,27216,0.0067021846771240234,561,27216,0.0018680095672607422,201
27217,zipcode,209,27217,0.00667119026184082,569,27217,0.0017147064208984375,209
27228,zipcode,196,27228,0.006785154342651367,556,27228,0.0019745826721191406,196
27229,zipcode,205,27229,0.006812095642089844,565,27229,0.0015206336975097656,205
27230,zipcode,202,27230,0.006637096405029297,562,27230,0.001589059829711914,202
27231,zipcode,208,27231,0.006635904312133789,568,27231,0.0015385150909423828,208
27233,zipcode,205,27233,0.006667375564575195,565,27233,0.0016100406646728516,205
27235,zipcode,203,27235,0.006613016128540039,563,27235,0.0023763179779052734,203
27237,zipcode,198,27237,0.006801605224609375,558,27237,0.001695871353149414,198
27239,zipcode,205,27239,0.006917476654052734,565,27239,0.0015954971313476562,205
27242,zipcode,208,27242,0.006554603576660156,568,27242,0.0017077922821044922,208
27243,zipcode,205,27243,0.006127834320068359,565,27243,0.0019533634185791016,205
27244,zipcode,199,27244,0.0065402984619140625,559,27244,0.0017409324645996094,199
27247,zipcode,196,27247,0.006496429443359375,556,27247,0.001718282699584961,196
27248,zipcode,212,27248,0.006406068801879883,572,27248,0.0013380050659179688,212
27249,zipcode,210,27249,0.007955312728881836,570,27249,0.0016231536865234375,210
27252,zipcode,207,27252,0.007663249969482422,567,27252,0.0016613006591796875,207
27253,zipcode,205,27253,0.006469011306762695,565,27253,0.0014908313751220703,205
27256,zipcode,203,27256,0.0069599151611328125,563,27256,0.002220630645751953,203
27258,zipcode,208,27258,0.006574392318725586,568,27258,0.0018782615661621094,208
27259,zipcode,200,27259,0.006742000579833984,560,27259,0.0024018287658691406,200
27260,zipcode,207,27260,0.0068776607513427734,567,27260,0.002636432647705078,207
27261,zipcode,201,27261,0.006487369537353516,561,27261,0.002028226852416992,201
27262,zipcode,209,27262,0.007172107696533203,569,27262,0.001589059829711914,209
27263,zipcode,209,27263,0.0075702667236328125,569,27263,0.0016078948974609375,209
27264,zipcode,201,27264,0.0068438053131103516,561,27264,0.001642465591430664,201
27265,zipcode,209,27265,0.006888151168823242,569,27265,0.0017042160034179688,209
27278,zipcode,211,27278,0.0065767765045166016,571,27278,0.0017466545104980469,211
27281,zipcode,214,27281,0.00656890869140625,574,27281,0.0016815662384033203,214
27282,zipcode,206,27282,0.0066013336181640625,566,27282,0.0017468929290771484,206
27283,zipcode,205,27283,0.0068209171295166016,565,27283,0.0016396045684814453,205
27284,zipcode,209,27284,0.007318258285522461,569,27284,0.0016331672668457031,209
27285,zipcode,203,27285,0.008861780166625977,563,27285,0.0018584728240966797,203
27288,zipcode,203,27288,0.006746530532836914,563,27288,0.02571892738342285,203
27289,zipcode,195,27289,0.00684809684753418,555,27289,0.0037992000579833984,195
27291,zipcode,207,27291,0.007388591766357422,567,27291,0.0029463768005371094,207
27292,zipcode,208,27292,0.0065844058990478516,568,27292,0.0016906261444091797,208
27293,zipcode,200,27293,0.006913185119628906,560,27293,0.0019218921661376953,200
27294,zipcode,200,27294,0.006968975067138672,560,27294,0.0017685890197753906,200
27295,zipcode,208,27295,0.008755922317504883,568,27295,0.0018167495727539062,208
27298,zipcode,206,27298,0.007032632827758789,566,27298,0.0016973018646240234,206
27299,zipcode,206,27299,0.006757020950317383,566,27299,0.0019826889038085938,206
27301,zipcode,212,27301,0.006640195846557617,572,27301,0.001535177230834961,212
27302,zipcode,205,27302,0.006627082824707031,565,27302,0.0016863346099853516,205
27305,zipcode,205,27305,0.006532430648803711,565,27305,0.006595134735107422,205
27306,zipcode,211,27306,0.006613492965698242,571,27306,0.0016715526580810547,211
27310,zipcode,208,27310,0.00648808479309082,568,27310,0.0016219615936279297,208
27311,zipcode,205,27311,0.006667137145996094,565,27311,0.0016398429870605469,205
27312,zipcode,208,27312,0.006896018981933594,568,27312,0.0015435218811035156,208
27313,zipcode,214,27313,0.0065801143646240234,574,27313,0.0015213489532470703,214
27314,zipcode,212,27314,0.006438255310058594,572,27314,0.0015711784362792969,212
27315,zipcode,207,27315,0.006479740142822266,567,27315,0.001566171646118164,207
27316,zipcode,206,27316,0.007635593414306641,566,27316,0.0017573833465576172,206
27317,zipcode,208,27317,0.006580352783203125,568,27317,0.0015909671783447266,208
27320,zipcode,207,27320,0.007358551025390625,567,27320,0.001867532730102539,207
27323,zipcode,201,27323,0.006846189498901367,561,27323,0.0033638477325439453,201
27325,zipcode,206,27325,0.009245157241821289,566,27325,0.0017423629760742188,206
27326,zipcode,205,27326,0.007019758224487305,565,27326,0.001432180404663086,205
27330,zipcode,204,27330,0.006787776947021484,564,27330,0.0016758441925048828,204
27331,zipcode,198,27331,0.00683903694152832,558,27331,0.0014874935150146484,198
27332,zipcode,206,27332,0.007294416427612305,566,27332,0.001954317092895508,206
27340,zipcode,198,27340,0.007086038589477539,558,27340,0.0017495155334472656,198
27341,zipcode,207,27341,0.006783962249755859,567,27341,0.001878499984741211,207
27342,zipcode,204,27342,0.007269144058227539,564,27342,0.001863241195678711,204
27343,zipcode,205,27343,0.006525993347167969,565,27343,0.0016281604766845703,205
27344,zipcode,209,27344,0.009048938751220703,569,27344,0.0016236305236816406,209
27349,zipcode,208,27349,0.009454965591430664,568,27349,0.0014965534210205078,208
27350,zipcode,205,27350,0.007009267807006836,565,27350,0.00180816650390625,205
27351,zipcode,200,27351,0.0071070194244384766,560,27351,0.0016453266143798828,200
27355,zipcode,203,27355,0.006905555725097656,563,27355,0.001554250717163086,203
27356,zipcode,201,27356,0.00664210319519043,561,27356,0.0015954971313476562,201
27357,zipcode,207,27357,0.006844997406005859,567,27357,0.0019350051879882812,207
27358,zipcode,206,27358,0.00698399543762207,566,27358,0.001857757568359375,206
27359,zipcode,203,27359,0.007067203521728516,563,27359,0.0018627643585205078,203
27360,zipcode,210,27360,0.006749153137207031,570,27360,0.0014801025390625,210
27361,zipcode,202,27361,0.006740093231201172,562,27361,0.0016307830810546875,202
27370,zipcode,206,27370,0.006911039352416992,566,27370,0.002530813217163086,206
27371,zipcode,203,27371,0.007633209228515625,563,27371,0.001565694808959961,203
27373,zipcode,199,27373,0.006955862045288086,559,27373,0.0021810531616210938,199
27374,zipcode,198,27374,0.006514310836791992,558,27374,0.0015892982482910156,198
27375,zipcode,194,27375,0.0064544677734375,554,27375,0.0016951560974121094,194
27376,zipcode,207,27376,0.006905078887939453,567,27376,0.001806497573852539,207
27377,zipcode,207,27377,0.007513523101806641,567,27377,0.0022017955780029297,207
27379,zipcode,210,27379,0.0068302154541015625,570,27379,0.0017237663269042969,210
27401,zipcode,209,27401,0.007166147232055664,569,27401,0.0015447139739990234,209
27402,zipcode,201,27402,0.00743556022644043,561,27402,0.001691579818725586,201
27403,zipcode,209,27403,0.006788492202758789,569,27403,0.0019130706787109375,209
27404,zipcode,201,27404,0.006667613983154297,561,27404,0.0017712116241455078,201
27405,zipcode,209,27405,0.007756710052490234,569,27405,0.005308389663696289,209
27406,zipcode,209,27406,0.008379936218261719,569,27406,0.0018310546875,209
27407,zipcode,209,27407,0.0064868927001953125,569,27407,0.0017697811126708984,209
27408,zipcode,209,27408,0.0067901611328125,569,27408,0.0017497539520263672,209
27409,zipcode,209,27409,0.006837129592895508,569,27409,0.0016613006591796875,209
27410,zipcode,201,27410,0.006589651107788086,561,27410,0.007842063903808594,201
27411,zipcode,209,27411,0.007061958312988281,569,27411,0.0017993450164794922,209
27412,zipcode,201,27412,0.007050275802612305,561,27412,0.0016739368438720703,201
27413,zipcode,205,27413,0.006362199783325195,565,27413,0.0015883445739746094,205
27415,zipcode,201,27415,0.007063150405883789,561,27415,0.0017147064208984375,201
27416,zipcode,201,27416,0.006725788116455078,561,27416,0.0016710758209228516,201
27417,zipcode,201,27417,0.006786346435546875,561,27417,0.001819610595703125,201
27419,zipcode,201,27419,0.0066945552825927734,561,27419,0.0016679763793945312,201
27420,zipcode,201,27420,0.006727933883666992,561,27420,0.001688241958618164,201
27425,zipcode,201,27425,0.006788015365600586,561,27425,0.0019769668579101562,201
27427,zipcode,201,27427,0.0065538883209228516,561,27427,0.002668142318725586,201
27429,zipcode,201,27429,0.00959634780883789,561,27429,0.0017163753509521484,201
27435,zipcode,201,27435,0.006525993347167969,561,27435,0.0016841888427734375,201
27438,zipcode,201,27438,0.006474018096923828,561,27438,0.0017266273498535156,201
27455,zipcode,205,27455,0.006644725799560547,565,27455,0.0022552013397216797,205
27495,zipcode,201,27495,0.0074155330657958984,561,27495,0.0016939640045166016,201
27497,zipcode,209,27497,0.006409645080566406,569,27497,0.0018913745880126953,209
27498,zipcode,201,27498,0.006409406661987305,561,27498,0.0019683837890625,201
27499,zipcode,201,27499,0.006679534912109375,561,27499,0.0016622543334960938,201
27501,zipcode,205,27501,0.006773948669433594,565,27501,0.001657724380493164,205
27502,zipcode,199,27502,0.006901264190673828,559,27502,0.001584768295288086,199
27503,zipcode,205,27503,0.0067255496978759766,565,27503,0.0051844120025634766,205
27504,zipcode,205,27504,0.006919384002685547,565,27504,0.0016527175903320312,205
27505,zipcode,207,27505,0.006804227828979492,567,27505,0.0017788410186767578,207
27506,zipcode,210,27506,0.00655674934387207,570,27506,0.00225830078125,210
27507,zipcode,206,27507,0.007067203521728516,566,27507,0.0017986297607421875,206
27508,zipcode,203,27508,0.007468700408935547,563,27508,0.001847982406616211,203
27509,zipcode,205,27509,0.007030487060546875,565,27509,0.0016582012176513672,205
27510,zipcode,207,27510,0.006666660308837891,567,27510,0.0014126300811767578,207
27511,zipcode,203,27511,0.007399082183837891,563,27511,0.0028612613677978516,203
27512,zipcode,195,27512,0.006694793701171875,555,27512,0.0019207000732421875,195
27513,zipcode,201,27513,0.007228851318359375,561,27513,0.0019273757934570312,201
27514,zipcode,210,27514,0.00688624382019043,570,27514,0.0022368431091308594,210
27515,zipcode,202,27515,0.006561756134033203,562,27515,0.0022971630096435547,202
27516,zipcode,210,27516,0.006650686264038086,570,27516,0.002856016159057617,210
27517,zipcode,208,27517,0.006886005401611328,568,27517,0.0018146038055419922,208
27518,zipcode,199,27518,0.006642580032348633,559,27518,0.0024979114532470703,199
27519,zipcode,203,27519,0.0071256160736083984,563,27519,0.00157928466796875,203
27520,zipcode,206,27520,0.007022380828857422,566,27520,0.0024633407592773438,206
27521,zipcode,204,27521,0.00703740119934082,564,27521,0.0019800662994384766,204
27522,zipcode,208,27522,0.0065097808837890625,568,27522,0.0021114349365234375,208
27523,zipcode,201,27523,0.007217884063720703,561,27523,0.001611948013305664,201
27524,zipcode,208,27524,0.00714874267578125,568,27524,0.0020236968994140625,208
27525,zipcode,210,27525,0.008473873138427734,570,27525,0.0014681816101074219,210
27526,zipcode,208,27526,0.006602287292480469,568,27526,0.002739429473876953,208
27527,zipcode,204,27527,0.006752967834472656,564,27527,0.0016562938690185547,204
27529,zipcode,201,27529,0.0073337554931640625,561,27529,0.0020568370819091797,201
27530,zipcode,204,27530,0.006678104400634766,564,27530,0.0021190643310546875,204
27531,zipcode,208,27531,0.006728410720825195,568,27531,0.0016846656799316406,208
27532,zipcode,200,27532,0.007137298583984375,560,27532,0.0015952587127685547,200
27533,zipcode,200,27533,0.006509304046630859,560,27533,0.0017342567443847656,200
27534,zipcode,208,27534,0.007047176361083984,568,27534,0.0016226768493652344,208
27536,zipcode,206,27536,0.006603240966796875,566,27536,0.001962900161743164,206
27537,zipcode,208,27537,0.007404327392578125,568,27537,0.003102540969848633,208
27539,zipcode,203,27539,0.007121086120605469,563,27539,0.00202178955078125,203
27540,zipcode,212,27540,0.006636619567871094,572,27540,0.0021080970764160156,212
27541,zipcode,211,27541,0.0066983699798583984,571,27541,0.0017211437225341797,211
27542,zipcode,204,27542,0.00696110725402832,564,27542,0.001631021499633789,204
27543,zipcode,198,27543,0.006746768951416016,558,27543,0.001703023910522461,198
27544,zipcode,205,27544,0.0066165924072265625,565,27544,0.0018491744995117188,205
27545,zipcode,209,27545,0.0068891048431396484,569,27545,0.0017497539520263672,209
27546,zipcode,209,27546,0.006689548492431641,569,27546,0.006116151809692383,209
27549,zipcode,208,27549,0.006867408752441406,568,27549,0.002073526382446289,208
27551,zipcode,204,27551,0.006683349609375,564,27551,0.001714944839477539,204
27552,zipcode,197,27552,0.007055044174194336,557,27552,0.001989603042602539,197
